id_producto,productos_descripcion,productos_marca,Carrefour,Coto,Día,Mejor_Precio,Dispersion_Porcentaje
7500435231244,SHAMPOO ANTI COMEZÓN HEAD SHOULDERS BOT 180 ML,HEAD SHOULDERS,6709.0,6703.0,7090.0,6703.0,5.8
0650240069352,SHAMP.CONTR.CASPA TIO NACHO CJA 415 ML,TIO NACHO,10270.0,10270.0,10571.0,10270.0,2.9
7791293051437,SHAMPOO LUMINOUS UV SEDAL BOT 340 ML,SEDAL,5425.0,5423.99,5425.0,5423.99,0.0
7791293051420,SHAMPOO LUMINOUS UV SEDAL BOT 190 ML,SEDAL,3630.0,3630.99,3630.0,3630.0,0.0
7790314080180,VINO CABERNET SAUC MALBEC ESTANCIA MENDOZA BOT 750 ML,ESTANCIA MENDOZ,4099.0,4099.0,2990.0,2990.0,37.1
7791293049519,ANTITRANSPIRANTE ANTIB. FEM.REXONA AER 150 ML,REXONA,4695.0,4558.99,4561.0,4558.99,3.0
7891150089952,ANTITRANSPIRANTE FRESH 96H REXONA CLINICAL AER 150 ML,REXONA,6989.0,6989.99,5240.0,5240.0,33.4
7891010257521,ENJ.BUCAL F.SUAVE SANDIA MENTA LISTERINE BOT 250 ML,LISTERINE,5355.0,5355.0,5356.0,5355.0,0.0
7509546700434,CREM.DENTAL LUM.WHIT.COL.CORR. COLGATE CJA 70 GRM,COLGATE,6120.55,6119.99,4590.0,4590.0,33.3
7509546702605,CREMA DENTAL ORIG.MINT COLGATE CJA 90 GRM,COLGATE,6305.0,6120.99,4590.0,4590.0,37.4
7500435231220,CREMA DENTAL EXTR.BLANC.BICAR. ORAL B CJA 70 GRM,ORAL B,4200.0,3864.99,3865.0,3864.99,8.7
7509546703640,CEPILLO DENTAL COLGATE KIT DE VIAJE BLI 2 UNI,COLGATE,6150.0,6149.99,5630.0,5630.0,9.2
7798311610515,PASTA DENTAL ANTICARIES EVERFRESH CJA 90 GRM,EVERFRESH,2699.0,2700.99,2700.0,2699.0,0.1
7798311610508,PASTA DENTAL MAX.BLANCURA EVERFRESH CJA 90 GRM,EVERFRESH,3100.0,3100.99,3116.0,3100.0,0.5
7798311610522,PASTA CUIDADO 3 EN 1 EVERFRESH CJA 90 GRM,EVERFRESH,3499.0,3500.99,3500.0,3499.0,0.1
7891024032886,JABÓN LIQ.P/MANOS CAME.Y ACE. D/ALMEND.PALMOLIVE DOY 200 ML,PALMOLIVE,1988.0,2341.99,2391.0,1988.0,20.3
7891024027226,JABON LIQUIDO ANTIBACTERIAL BALANCE PROTEX DOY 200 ML,PROTEX,2879.0,2876.99,2961.0,2876.99,2.9
7790310985571,DORITOS SABOR QUESO DORITOS PAQ 200 GRM,DORITOS,8609.0,8800.0,8800.0,8609.0,2.2
7790310985656,DORITOS SABOR QUESO DORITOS PAQ 129 GRM,DORITOS,5559.0,5400.0,3800.0,3800.0,46.3
7790310985557,PAPAS FRITAS SAB.QUES.CREMA Y CEBOLLA LAYS PAQ 77 GRM,LAYS,3965.0,3700.0,3850.0,3700.0,7.2
7790310985373,PAPAS FRITAS CLÁSICAS PEHUAMAR PAQ 230 GRM,PEHUAMAR,6299.0,6300.0,6332.0,6299.0,0.5
7790310987780,PAPAS FRITAS SAB.PANCETA LAYS PAQ 77 GRM,LAYS,3544.0,3850.0,3850.0,3544.0,8.6
7790040173200,SNACKS REX KESITAS QUESO CJA 125 GRM,KESITAS,2059.0,2162.0,2260.0,2059.0,9.8
7790310984307,PALITOS SAB PANCETA PEP PAQ 120 GRM,PEP,3300.0,3250.0,3370.0,3250.0,3.7
7500435249355,SHAMPOO CTRL CASP.ANT.RESE.MIE HEAD SHOULDERS BOT 180 ML,HEAD SHOULDERS,6709.0,6703.0,7090.0,6703.0,5.8
7500435249348,SHAMPOO CTRL CASP.ANT.RESE.MIE HEAD SHOULDERS BOT 375 ML,HEAD SHOULDERS,11255.0,11254.0,11899.0,11254.0,5.7
7509552964387,SH.LIS.EFEC.KERATINA ELVIVE BOT 400 ML,ELVIVE,11320.0,12490.99,7140.0,7140.0,74.9
7509552964554,SH.LIS.EFEC.KERATINA ELVIVE BOT 200 ML,ELVIVE,6589.0,7490.99,7490.0,6589.0,13.7
7791293050034,SHAMPOO CAUTERI.REPARADORA TRESEMME BOT 500 ML,TRESEMME,10319.0,9919.99,9920.0,9919.99,4.0
7790314080142,VINO RED BLEND CANCILLER III BOT 1125 ML,CANCILLER,4169.0,4169.0,3330.0,3330.0,25.2
7791728247732,VINO CABERNET SAUVIGNON SANTA JULIA BOT 750 ML,SANTA JULIA,6639.0,6637.0,6643.0,6637.0,0.1
0000078924338,ANTITRANSPIRANTE POWDER DRY REXONA ROL 50 GRM,REXONA,2999.0,3016.99,2999.0,2999.0,0.6
7891150095618,JABON P/PIEL SENSIBLE DOVE CJA 90 GRM,DOVE,2460.0,2460.99,2460.0,2460.0,0.0
